epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,804.051,1.04514,0.50893,0.92049,0.91375,0.90645,0.95733,0.72592,0.95394,0.48716,0.88884,0.000416278,0.000416278,0.000416278
2,1601.04,1.05917,0.52445,0.92426,0.91471,0.90483,0.95847,0.73107,0.94021,0.48144,0.88597,0.000750483,0.000750483,0.000750483
3,2390.56,1.05817,0.52504,0.92378,0.90927,0.90225,0.95666,0.72682,0.95482,0.4957,0.88907,0.00100219,0.00100219,0.00100219
4,3179.52,1.05512,0.52208,0.92273,0.91488,0.91067,0.96022,0.73675,0.92365,0.47644,0.88559,0.00087875,0.00087875,0.00087875
5,3968.81,1.03613,0.507,0.917,0.9246,0.9149,0.96525,0.748,0.90859,0.45941,0.8793,0.000755,0.000755,0.000755
6,4755.03,1.01676,0.49313,0.9121,0.9261,0.91952,0.96737,0.75494,0.89618,0.44712,0.87497,0.00063125,0.00063125,0.00063125
7,5540.49,0.99947,0.48037,0.90741,0.93,0.92719,0.97088,0.76327,0.87764,0.43258,0.87093,0.0005075,0.0005075,0.0005075
8,6328.19,0.97819,0.46607,0.90091,0.93543,0.92991,0.97321,0.77101,0.86158,0.4218,0.86667,0.00038375,0.00038375,0.00038375
9,7115.17,0.96145,0.45442,0.89615,0.93845,0.93329,0.97471,0.77664,0.85205,0.41294,0.86422,0.00026,0.00026,0.00026
10,7902.81,0.94432,0.4415,0.89193,0.94035,0.93829,0.9768,0.78216,0.83967,0.40385,0.86076,0.00013625,0.00013625,0.00013625
1,765.637,1.08727,0.53879,0.93042,0.89641,0.88822,0.94401,0.69571,1.00158,0.52748,0.90078,0.000416278,0.000416278,0.000416278
2,1533.96,1.09772,0.55217,0.93393,0.90642,0.89746,0.9516,0.71156,0.97905,0.50475,0.8952,0.000750483,0.000750483,0.000750483
3,2287.04,1.0918,0.54889,0.93217,0.91026,0.88921,0.95038,0.71249,0.99062,0.51843,0.89802,0.00100219,0.00100219,0.00100219
4,3041.8,1.08046,0.53863,0.92916,0.91062,0.90513,0.95558,0.72665,0.94711,0.48808,0.88996,0.00087875,0.00087875,0.00087875
5,3799.24,1.05828,0.52048,0.9229,0.91733,0.91146,0.96235,0.73541,0.92689,0.47003,0.88517,0.000755,0.000755,0.000755
6,4553.79,1.0377,0.50409,0.91836,0.92435,0.92118,0.96722,0.74877,0.91201,0.45093,0.87969,0.00063125,0.00063125,0.00063125
7,5308.62,1.01714,0.48773,0.91294,0.92775,0.92537,0.97017,0.75573,0.89445,0.43934,0.87508,0.0005075,0.0005075,0.0005075
8,6061.61,0.9964,0.47331,0.90623,0.92949,0.93195,0.97256,0.76513,0.87862,0.42674,0.87134,0.00038375,0.00038375,0.00038375
9,6816.73,0.97652,0.45879,0.90113,0.93522,0.9344,0.975,0.77292,0.86487,0.41637,0.86722,0.00026,0.00026,0.00026
10,7571.37,0.95888,0.44526,0.89654,0.94007,0.93536,0.97687,0.77932,0.85062,0.40708,0.86433,0.00013625,0.00013625,0.00013625
